192.168.65.1 - - [26/Aug/2025:20:23:52 +0000] "GET /assets/index-B4HUQdL0.css HTTP/1.1" 200 48 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:23:52 +0000] "GET /assets/vendor-C8w-UNLI.js HTTP/1.1" 200 45506 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:23:52 +0000] "GET /assets/router-brdF2gDG.js HTTP/1.1" 200 6983 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:23:52 +0000] "GET /assets/mui-B4wNfXrO.js HTTP/1.1" 200 93695 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:23:53 +0000] "GET /vite.svg HTTP/1.1" 404 555 "http://localhost:8080/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:35:28 +0000] "POST /api/auth/login HTTP/1.1" 200 702 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:20:45:00 +0000] "POST /api/auth/login HTTP/1.1" 200 701 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:20:45:17 +0000] "GET /login?id=844f57a8-a209-44fe-bdab-210fd7e0f5f1&vscodeBrowserReqId=1756241117504 HTTP/1.1" 200 916 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.100.2 Chrome/132.0.6834.210 Electron/34.5.1 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:45:37 +0000] "GET /login HTTP/1.1" 200 916 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:58:12 +0000] "GET /?id=844f57a8-a209-44fe-bdab-210fd7e0f5f1&vscodeBrowserReqId=1756241892492 HTTP/1.1" 200 916 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.100.2 Chrome/132.0.6834.210 Electron/34.5.1 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:20:58:33 +0000] "POST /api/auth/login HTTP/1.1" 200 702 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:20:59:47 +0000] "GET /api/devices HTTP/1.1" 404 0 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:21:01:19 +0000] "POST /api/auth/login HTTP/1.1" 200 702 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:21:02:50 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:21:05:16 +0000] "POST /api/auth/login HTTP/1.1" 200 702 "-" "curl/8.7.1" "-"
192.168.65.1 - - [26/Aug/2025:21:05:22 +0000] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 916 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:21:05:24 +0000] "GET /assets/query-B634pd0I.js.map HTTP/1.1" 200 97045 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [26/Aug/2025:21:05:24 +0000] "GET /assets/index-td6nZfWX.js.map HTTP/1.1" 200 310839 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
